Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6
-0.50392,-0.5044200000000001,-0.51108,-0.51822
-0.40542,-0.46182,-0.44812,-0.39546000000000003
-0.19,-0.04,-0.19,-0.19
-0.79236,-0.7109400000000001,-0.75152,-0.74838
-0.21073999999999998,-0.21944,-0.21427999999999997,-0.23508
-0.56,-0.8800000000000001,-0.74,-0.78
-0.35776,-0.35606,-0.35494,-0.36312
-0.6859,-0.8800000000000001,-0.79334,-0.64666
-0.009659999999999998,0.0,-0.016120000000000002,-0.014119999999999999
-0.17959999999999998,-0.13382,-0.22490000000000002,-0.24203999999999998
-0.50422,-0.50084,-0.51868,-0.5127200000000001
-0.561,-0.59478,-0.5922600000000001,-0.5685
-0.41244,-0.54576,-0.52934,-0.5043
-0.89652,-0.9087799999999999,-0.9127199999999999,-0.93202
-0.01538,-0.01538,-0.01538,0.0
-0.3174,-0.34474,-0.39977999999999997,-0.34156
-0.535,-0.5850000000000001,-0.495,-0.52
