Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),naive_Average,naive_Maximization,naive_Aom,naive_Moa,Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6,Generic SPEC Average_6,Generic SPEC Maximization_6,Generic SPEC Aom_6,Generic SPEC Moa_6,NormalizedCut Average_6,NormalizedCut Maximization_6,NormalizedCut Aom_6,NormalizedCut Moa_6,Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6,WKMeans Average_6,WKMeans Maximization_6,WKMeans Aom_6,WKMeans Moa_6
-0.34726,-0.42538,-0.4468,-0.53914,-0.5322600000000001,-0.4468,-0.43942,-0.38349999999999995,-0.4537,-0.4468,-0.49656,-0.5037,-0.48251999999999995,-0.48250000000000004,-0.50392,-0.5044200000000001,-0.51108,-0.51822,-0.48250000000000004,-0.5044200000000001,-0.48251999999999995,-0.4968,-0.52536,-0.51156,-0.51108,-0.5182200000000001,-0.4468,-0.4537,-0.46108000000000005,-0.43966000000000005,-0.5322600000000001,-0.5322600000000001,-0.5037,-0.5325
-0.19314,-0.49558,-0.13069999999999998,-0.46098,-0.51398,-0.30234,-0.13670000000000002,-0.42454000000000003,-0.55406,-0.65912,-0.3431,-0.40858,-0.4198799999999999,-0.40931999999999996,-0.40542,-0.46182,-0.44812,-0.39546000000000003,-0.28226000000000007,-0.40713999999999995,-0.34298,-0.38604,-0.44933999999999996,-0.47474,-0.45942000000000005,-0.5076,-0.4673,-0.47474,-0.48123999999999995,-0.46534,-0.31092,-0.39922,-0.38678,-0.3764
-0.22999999999999998,-0.19,-0.26999999999999996,-0.04,-0.19,-0.19,-0.26999999999999996,0.0,-0.19,-0.19,-0.19,-0.15,-0.19,-0.19,-0.19,-0.04,-0.19,-0.19,-0.19,-0.19,-0.19,-0.22999999999999998,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19
-0.8294600000000001,-0.8031,-0.7551,-0.34231999999999996,-0.66184,-0.86012,-0.7551,-0.8667399999999998,-0.72184,-0.5952200000000001,-0.7670199999999999,-0.6032200000000001,-0.72576,-0.70676,-0.79236,-0.7109400000000001,-0.75152,-0.74838,-0.79236,-0.7109400000000001,-0.7630199999999999,-0.7367199999999999,-0.75228,-0.5992200000000001,-0.70538,-0.6775400000000001,-0.6817599999999999,-0.5884,-0.62204,-0.6249800000000001,-0.70718,-0.59914,-0.64324,-0.6734199999999999
-0.29908,-0.19576,-0.36988,-0.10529999999999999,-0.07544,-0.30538000000000004,-0.32487999999999995,-0.11413999999999999,-0.11833999999999997,-0.05386,-0.19784000000000002,-0.23443999999999998,-0.22008,-0.20798,-0.21073999999999998,-0.21944,-0.21427999999999997,-0.23508,-0.26471999999999996,-0.31828,-0.32132,-0.28102,-0.10334000000000002,-0.099,-0.08176000000000001,-0.09466000000000001,-0.09480000000000001,-0.13124,-0.16914,-0.14204,-0.10769999999999999,-0.1377,-0.14833999999999997,-0.14414
-0.34,-0.56,-0.56,-0.8800000000000001,-0.76,-0.56,-0.56,-0.56,-0.56,-0.68,-0.56,-0.78,-0.56,-0.64,-0.56,-0.8800000000000001,-0.74,-0.78,-0.56,-0.56,-0.56,-0.56,-0.56,-0.8800000000000001,-0.74,-0.7,-0.56,-0.68,-0.68,-0.68,-0.56,-0.78,-0.64,-0.7
-0.35008,-0.40298,-0.36356,-0.1167,-0.28742,-0.41504,-0.34344,-0.35448,-0.37720000000000004,-0.3724,-0.3780200000000001,-0.35754,-0.37578,-0.36910000000000004,-0.35776,-0.35606,-0.35494,-0.36312,-0.31614,-0.23146,-0.29386,-0.27379999999999993,-0.35996,-0.35606,-0.36196,-0.34430000000000005,-0.38638000000000006,-0.35196000000000005,-0.37828,-0.363,-0.34978,-0.31774,-0.33916,-0.33814
-0.04908,-1.0,-0.19501999999999997,-0.9754799999999999,-0.92588,-0.26180000000000003,-0.16997999999999996,-0.95502,-1.0,-0.99,-0.8468199999999999,-0.9059199999999998,-0.96214,-0.9333400000000001,-0.6859,-0.8800000000000001,-0.79334,-0.64666,-0.8758800000000001,-0.89498,-0.96,-0.9333400000000001,-1.0,-1.0,-1.0,-1.0,-0.985,-0.9949999999999999,-1.0,-0.99,-0.51226,-0.6986199999999999,-0.63666,-0.6925600000000001
-0.023600000000000003,0.0,-0.03268,-0.23424,-0.009659999999999998,0.0,-0.02904,0.0,0.0,0.0,0.0,0.0,-0.0032199999999999998,0.0,-0.009659999999999998,0.0,-0.016120000000000002,-0.014119999999999999,-0.02904,-0.09925999999999999,-0.036019999999999996,-0.0566,0.0,0.0,-0.0032199999999999998,-0.0129,0.0,-0.023020000000000002,-0.0032199999999999998,0.0,-0.009659999999999998,-0.023020000000000002,-0.009659999999999998,-0.0064399999999999995
-0.0596,-0.32223999999999997,-0.06194000000000001,-0.2796,-0.31412,-0.07138,-0.058499999999999996,-0.06952,-0.30956,-0.33176,-0.24394,-0.12112,-0.26516,-0.23478,-0.17959999999999998,-0.13382,-0.22490000000000002,-0.24203999999999998,-0.07138,-0.10546,-0.07452,-0.1217,-0.292,-0.18024,-0.29036,-0.2701,-0.28744,-0.22872000000000003,-0.28998,-0.27768000000000004,-0.16848000000000002,-0.16486,-0.17864,-0.2415
