Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6
-0.8077799999999999,-0.8005400000000001,-0.80636,-0.8014199999999999
-0.8866200000000001,-0.9280200000000001,-0.91544,-0.9096
-0.70028,-0.6847799999999999,-0.71386,-0.7035199999999999
-0.89064,-0.8482800000000001,-0.86776,-0.8664999999999999
-0.76854,-0.7961600000000001,-0.78382,-0.7852199999999999
-0.9856399999999998,-0.9825399999999999,-0.9866400000000001,-0.98492
-0.8112999999999999,-0.799,-0.8127600000000001,-0.8108799999999998
-0.9766999999999999,-0.9984999999999999,-0.99522,-0.9890399999999999
-0.6659,-0.7691,-0.70976,-0.72778
-0.8990199999999999,-0.8970600000000001,-0.9094000000000001,-0.9057999999999999
-0.6915600000000001,-0.69702,-0.69372,-0.68962
-0.7036200000000001,-0.72872,-0.7279,-0.7111
-0.98274,-0.99408,-0.9914000000000002,-0.9889000000000001
-0.9876000000000001,-0.99314,-0.9939600000000001,-0.99484
-0.35698,-0.30276000000000003,-0.3712,-0.35252
-0.9312000000000001,-0.90622,-0.9377800000000001,-0.9221599999999999
-0.9484400000000001,-0.9578,-0.94966,-0.9498599999999999
