Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),naive_Aom,Fixed SPEC Aom_6
-0.75478,-0.7604200000000001,-0.76624,-0.8330399999999999,-0.83536,-0.76834,-0.7669999999999999,-0.786,-0.777,-0.7779,-0.7993199999999999,-0.80636
-0.55894,-0.82858,-0.51898,-0.84824,-0.9426799999999999,-0.7040200000000001,-0.50432,-0.8741200000000001,-0.94658,-0.9600399999999999,-0.9136000000000001,-0.91544
-0.74278,-0.8644400000000001,-0.7806,-0.6897,-0.7364,-0.8100400000000001,-0.8210200000000001,-0.73902,-0.62024,-0.6295,-0.7461800000000001,-0.71386
-0.91228,-0.9019999999999999,-0.8939400000000001,-0.54206,-0.8429599999999999,-0.9244199999999999,-0.8995600000000001,-0.94716,-0.8531400000000001,-0.80264,-0.8687000000000001,-0.86776
-0.8614200000000001,-0.75734,-0.86804,-0.58572,-0.5971599999999999,-0.85534,-0.85218,-0.7718200000000002,-0.5809,-0.49494,-0.7973800000000001,-0.78382
-0.9043000000000001,-0.96702,-0.9631399999999999,-0.9978400000000001,-0.9913000000000001,-0.96264,-0.96092,-0.9045,-0.96264,-0.9804599999999999,-0.97364,-0.9866400000000001
-0.78148,-0.8417600000000001,-0.7292,-0.5644399999999999,-0.78834,-0.84392,-0.7200399999999999,-0.8485399999999998,-0.8397599999999998,-0.83872,-0.8291000000000001,-0.8127600000000001
-0.10667999999999997,-1.0,-0.5383600000000002,-0.9999399999999999,-0.9994400000000001,-0.7665,-0.54098,-0.9997400000000001,-1.0,-0.9999800000000001,-0.9997199999999999,-0.99522
-0.45150000000000007,-0.76966,-0.46909999999999996,-0.8755200000000001,-0.61316,-0.37698,-0.46556,-0.3584,-0.49338,-0.5019,-0.68606,-0.70976
-0.69892,-0.9623800000000001,-0.48352000000000006,-0.92942,-0.94228,-0.7550600000000001,-0.49278000000000005,-0.8278799999999998,-0.92926,-0.9342600000000001,-0.92598,-0.9094000000000001
-0.67502,-0.6728000000000001,-0.6330199999999999,-0.70656,-0.6571200000000001,-0.7175,-0.64198,-0.6979,-0.63014,-0.6485,-0.68686,-0.69372
-0.56742,-0.7216799999999999,-0.55492,-0.74798,-0.69672,-0.67996,-0.5539799999999999,-0.7980400000000001,-0.6463400000000001,-0.58926,-0.72258,-0.7279
-0.8550000000000001,-0.99816,-0.49052000000000007,-0.9722999999999999,-0.9904,-0.95222,-0.48928000000000005,-0.99458,-0.99548,-0.9716799999999999,-0.99648,-0.9914000000000002
-0.6217400000000001,-0.62754,-0.5201,-0.98438,-0.99692,-0.64868,-0.5347799999999999,-0.98996,-0.99154,-0.9895799999999999,-0.9957600000000001,-0.9939600000000001
-0.33178,-0.38306,-0.35728,-0.31012000000000006,-0.41317999999999994,-0.35792,-0.36848000000000003,-0.36968,-0.45958000000000004,-0.39930000000000004,-0.34466,-0.3712
-0.9552799999999999,-0.9187200000000001,-0.93292,-0.6986799999999999,-0.72978,-0.9631599999999999,-0.9298,-0.69494,-0.77312,-0.60994,-0.9016,-0.9377800000000001
-0.91486,-0.9201599999999999,-0.9419799999999998,-0.9598800000000001,-0.9437800000000001,-0.9422599999999999,-0.93542,-0.90236,-0.9387800000000001,-0.93096,-0.9457599999999999,-0.94966
