naive_Aom,Fixed SPEC Aom_6,Generic SPEC Aom_6,NormalizedCut Aom_6,Lasso Aom_6,WKMeans Aom_6
-0.7993199999999999,-0.80636,-0.7986000000000001,-0.80942,-0.77424,-0.81056
-0.9136000000000001,-0.91544,-0.892,-0.933,-0.9362199999999999,-0.89768
-0.7461800000000001,-0.71386,-0.77676,-0.71176,-0.7344600000000001,-0.73624
-0.8687000000000001,-0.86776,-0.86608,-0.8558399999999999,-0.83902,-0.8385599999999999
-0.7973800000000001,-0.78382,-0.83262,-0.66726,-0.70292,-0.70864
-0.97364,-0.9866400000000001,-0.9692999999999999,-0.98464,-0.977,-0.9831999999999999
-0.8291000000000001,-0.8127600000000001,-0.76752,-0.8074600000000001,-0.8428599999999999,-0.8061
-0.9997199999999999,-0.99522,-0.99964,-1.0,-1.0,-0.99116
-0.68606,-0.70976,-0.7611399999999999,-0.7048599999999999,-0.7237599999999998,-0.72834
-0.92598,-0.9094000000000001,-0.82248,-0.93226,-0.94296,-0.90778
-0.68686,-0.69372,-0.6770400000000001,-0.68522,-0.67466,-0.6981400000000001
-0.72258,-0.7279,-0.70102,-0.73476,-0.70824,-0.7198
-0.99648,-0.9914000000000002,-0.9972,-0.9917000000000001,-0.99588,-0.9956799999999999
-0.9957600000000001,-0.9939600000000001,-0.9787800000000001,-0.99542,-0.9942,-0.9921
-0.34466,-0.3712,-0.35156,-0.34338,-0.38395999999999997,-0.33224
-0.9016,-0.9377800000000001,-0.87912,-0.9118600000000001,-0.8282400000000001,-0.8712199999999999
-0.9457599999999999,-0.94966,-0.93954,-0.9489999999999998,-0.9465999999999999,-0.9521799999999999
