Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),naive_Average,naive_Maximization,naive_Aom,naive_Moa,Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6,Generic SPEC Average_6,Generic SPEC Maximization_6,Generic SPEC Aom_6,Generic SPEC Moa_6,NormalizedCut Average_6,NormalizedCut Maximization_6,NormalizedCut Aom_6,NormalizedCut Moa_6,Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6,WKMeans Average_6,WKMeans Maximization_6,WKMeans Aom_6,WKMeans Moa_6
-0.75478,-0.7604200000000001,-0.76624,-0.8330399999999999,-0.83536,-0.76834,-0.7669999999999999,-0.786,-0.777,-0.7779,-0.7983200000000001,-0.7973,-0.7993199999999999,-0.7897399999999999,-0.8077799999999999,-0.8005400000000001,-0.80636,-0.8014199999999999,-0.79652,-0.7975399999999999,-0.7986000000000001,-0.7933199999999999,-0.8105600000000001,-0.80156,-0.80942,-0.8068000000000002,-0.7721,-0.7862199999999999,-0.77424,-0.77502,-0.81508,-0.8043199999999999,-0.81056,-0.81422
-0.55894,-0.82858,-0.51898,-0.84824,-0.9426799999999999,-0.7040200000000001,-0.50432,-0.8741200000000001,-0.94658,-0.9600399999999999,-0.87446,-0.9152799999999999,-0.9136000000000001,-0.90912,-0.8866200000000001,-0.9280200000000001,-0.91544,-0.9096,-0.8536400000000001,-0.9221799999999998,-0.892,-0.9052199999999999,-0.9277200000000001,-0.9299800000000001,-0.933,-0.9387799999999998,-0.92282,-0.93086,-0.9362199999999999,-0.92666,-0.85754,-0.91214,-0.89768,-0.8886800000000001
-0.74278,-0.8644400000000001,-0.7806,-0.6897,-0.7364,-0.8100400000000001,-0.8210200000000001,-0.73902,-0.62024,-0.6295,-0.74892,-0.70078,-0.7461800000000001,-0.7262599999999999,-0.70028,-0.6847799999999999,-0.71386,-0.7035199999999999,-0.78592,-0.74566,-0.77676,-0.7768200000000001,-0.7063200000000001,-0.6891400000000001,-0.71176,-0.71678,-0.73812,-0.7178599999999999,-0.7344600000000001,-0.7386,-0.7325200000000001,-0.7199800000000001,-0.73624,-0.7316
-0.91228,-0.9019999999999999,-0.8939400000000001,-0.54206,-0.8429599999999999,-0.9244199999999999,-0.8995600000000001,-0.94716,-0.8531400000000001,-0.80264,-0.8911200000000001,-0.7966,-0.8687000000000001,-0.85938,-0.89064,-0.8482800000000001,-0.86776,-0.8664999999999999,-0.89064,-0.8482800000000001,-0.86608,-0.8588600000000002,-0.8822000000000001,-0.8069799999999999,-0.8558399999999999,-0.8460599999999999,-0.8615999999999999,-0.78702,-0.83902,-0.8392799999999999,-0.87056,-0.78928,-0.8385599999999999,-0.8417199999999999
-0.8614200000000001,-0.75734,-0.86804,-0.58572,-0.5971599999999999,-0.85534,-0.85218,-0.7718200000000002,-0.5809,-0.49494,-0.77052,-0.7966,-0.7973800000000001,-0.7888999999999999,-0.76854,-0.7961600000000001,-0.78382,-0.7852199999999999,-0.8225200000000001,-0.8220400000000001,-0.83262,-0.82742,-0.65602,-0.6521799999999999,-0.66726,-0.6498200000000001,-0.6779,-0.73132,-0.70292,-0.69716,-0.6854199999999999,-0.7312000000000001,-0.70864,-0.6963800000000001
-0.9043000000000001,-0.96702,-0.9631399999999999,-0.9978400000000001,-0.9913000000000001,-0.96264,-0.96092,-0.9045,-0.96264,-0.9804599999999999,-0.9726199999999998,-0.9829799999999999,-0.97364,-0.9775599999999999,-0.9856399999999998,-0.9825399999999999,-0.9866400000000001,-0.98492,-0.9700399999999998,-0.9777999999999999,-0.9692999999999999,-0.9700399999999998,-0.9856399999999998,-0.9825399999999999,-0.98464,-0.9792799999999999,-0.97312,-0.9821799999999999,-0.977,-0.9770199999999999,-0.9809999999999999,-0.9829799999999999,-0.9831999999999999,-0.9837400000000001
-0.78148,-0.8417600000000001,-0.7292,-0.5644399999999999,-0.78834,-0.84392,-0.7200399999999999,-0.8485399999999998,-0.8397599999999998,-0.83872,-0.8283000000000001,-0.80024,-0.8291000000000001,-0.81784,-0.8112999999999999,-0.799,-0.8127600000000001,-0.8108799999999998,-0.76654,-0.72928,-0.76752,-0.7510199999999999,-0.81118,-0.799,-0.8074600000000001,-0.7998000000000001,-0.84418,-0.82812,-0.8428599999999999,-0.8363799999999999,-0.80514,-0.78486,-0.8061,-0.79606
-0.10667999999999997,-1.0,-0.5383600000000002,-0.9999399999999999,-0.9994400000000001,-0.7665,-0.54098,-0.9997400000000001,-1.0,-0.9999800000000001,-0.96288,-0.9985800000000001,-0.9997199999999999,-0.99928,-0.9766999999999999,-0.9984999999999999,-0.99522,-0.9890399999999999,-0.92968,-0.9988400000000001,-0.99964,-0.99856,-1.0,-1.0,-1.0,-1.0,-0.9999399999999999,-0.9999399999999999,-1.0,-0.9999,-0.98256,-0.99376,-0.99116,-0.99178
-0.45150000000000007,-0.76966,-0.46909999999999996,-0.8755200000000001,-0.61316,-0.37698,-0.46556,-0.3584,-0.49338,-0.5019,-0.6432800000000001,-0.7683,-0.68606,-0.7281,-0.6659,-0.7691,-0.70976,-0.72778,-0.6973800000000001,-0.8313,-0.7611399999999999,-0.7705,-0.6614,-0.7695799999999999,-0.7048599999999999,-0.71624,-0.6879,-0.7821200000000001,-0.7237599999999998,-0.7173,-0.67406,-0.77466,-0.72834,-0.7190200000000001
-0.69892,-0.9623800000000001,-0.48352000000000006,-0.92942,-0.94228,-0.7550600000000001,-0.49278000000000005,-0.8278799999999998,-0.92926,-0.9342600000000001,-0.91668,-0.9027200000000001,-0.92598,-0.9218400000000001,-0.8990199999999999,-0.8970600000000001,-0.9094000000000001,-0.9057999999999999,-0.8035,-0.8474999999999999,-0.82248,-0.83184,-0.9359,-0.9117200000000001,-0.93226,-0.9312000000000001,-0.9454799999999999,-0.9312400000000001,-0.94296,-0.9368399999999999,-0.9045799999999999,-0.9174,-0.90778,-0.9338200000000001
