Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),naive_Average,naive_Maximization,naive_Aom,naive_Moa,Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6,Generic SPEC Average_6,Generic SPEC Maximization_6,Generic SPEC Aom_6,Generic SPEC Moa_6,NormalizedCut Average_6,NormalizedCut Maximization_6,NormalizedCut Aom_6,NormalizedCut Moa_6,Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6,WKMeans Average_6,WKMeans Maximization_6,WKMeans Aom_6,WKMeans Moa_6
-0.7246,-0.7222,-0.7143,-0.8077,-0.817,-0.7148,-0.7171,-0.725,-0.7124,-0.7134,-0.7456,-0.754,-0.743,-0.7337,-0.7432,-0.7642,-0.7451,-0.7477,-0.7432,-0.7642,-0.7453,-0.7505,-0.767,-0.7747,-0.7661,-0.7624,-0.715,-0.7302,-0.7157,-0.7106,-0.7726,-0.7708,-0.7687,-0.7799
-0.55,-0.8466,-0.5971,-0.8364,-0.9386,-0.7278,-0.601,-0.8637,-0.9398,-0.9521,-0.8976,-0.9204,-0.9254,-0.8993,-0.9059,-0.9237,-0.9287,-0.91,-0.8964,-0.9295,-0.8979,-0.9419,-0.922,-0.926,-0.9226,-0.9391,-0.9196,-0.926,-0.935,-0.9152,-0.8778,-0.9204,-0.9161,-0.9043
-0.8049,-0.9062,-0.9086,-0.758,-0.7852,-0.8667,-0.9062,-0.7975,-0.7877,-0.7432,-0.8198,-0.7432,-0.8049,-0.8198,-0.8395,-0.7753,-0.8272,-0.8148,-0.8173,-0.7753,-0.8247,-0.8346,-0.8148,-0.7605,-0.7926,-0.8049,-0.8198,-0.7926,-0.8,-0.8074,-0.8296,-0.7728,-0.7926,-0.7802
-0.9354,-0.9462,-0.9229,-0.6185,-0.8851,-0.9629,-0.9209,-0.9741,-0.9033,-0.8341,-0.9382,-0.8374,-0.9149,-0.9119,-0.9332,-0.8974,-0.9101,-0.9233,-0.9332,-0.8974,-0.9231,-0.9002,-0.931,-0.847,-0.9156,-0.8815,-0.9121,-0.8332,-0.8884,-0.8897,-0.9134,-0.8367,-0.8736,-0.8941
-0.8836,-0.7718,-0.8764,-0.6089,-0.6295,-0.8664,-0.8736,-0.8175,-0.5861,-0.5235,-0.7934,-0.8239,-0.8176,-0.824,-0.7082,-0.7182,-0.7114,-0.7157,-0.8393,-0.8202,-0.8418,-0.8276,-0.69,-0.7105,-0.7185,-0.6814,-0.7014,-0.7527,-0.7099,-0.7106,-0.739,-0.7521,-0.7484,-0.7407
-0.8966,-0.9569,-0.9483,-1.0,-1.0,-0.9569,-0.9569,-0.931,-0.9569,-0.9655,-0.9655,-0.9914,-0.9655,-0.9828,-0.9914,-1.0,-0.9914,-0.9828,-0.9828,-0.9914,-0.9828,-0.9828,-0.9914,-1.0,-0.9741,-0.9655,-0.9569,-0.9914,-0.9655,-0.9655,-0.9828,-0.9914,-0.9828,-0.9914
-0.7967,-0.8464,-0.743,-0.5623,-0.7908,-0.8545,-0.7502,-0.8271,-0.8424,-0.8438,-0.8223,-0.7861,-0.818,-0.8098,-0.8032,-0.7864,-0.7988,-0.8049,-0.7754,-0.7325,-0.8013,-0.7643,-0.8032,-0.7864,-0.7998,-0.8015,-0.8492,-0.8244,-0.8448,-0.8327,-0.8112,-0.7883,-0.8176,-0.7936
-0.1007,-1.0,-0.6138,-1.0,-0.9999,-0.8103,-0.5924,-1.0,-1.0,-1.0,-0.9751,-0.9994,-0.9999,-1.0,-0.9763,-1.0,-1.0,-1.0,-0.9764,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9911,-0.9976,-0.9952,-0.9901
-0.4887,-0.7328,-0.5035,-0.8626,-0.6726,-0.3942,-0.5053,-0.3916,-0.4366,-0.4591,-0.659,-0.7559,-0.6907,-0.7231,-0.6702,-0.7575,-0.6963,-0.7143,-0.7079,-0.8158,-0.7513,-0.7672,-0.6702,-0.7575,-0.7116,-0.6957,-0.6865,-0.7698,-0.6938,-0.7008,-0.6895,-0.7622,-0.7345,-0.7006
-0.6823,-0.9646,-0.4683,-0.9268,-0.941,-0.7467,-0.4733,-0.8269,-0.9347,-0.9357,-0.9186,-0.911,-0.9277,-0.9376,-0.8961,-0.9023,-0.9213,-0.9023,-0.7974,-0.859,-0.8217,-0.7925,-0.9449,-0.9347,-0.9368,-0.9345,-0.9449,-0.9347,-0.9449,-0.9469,-0.8966,-0.9214,-0.902,-0.9387
