Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),naive_Average,naive_Maximization,naive_Aom,naive_Moa,Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6,Generic SPEC Average_6,Generic SPEC Maximization_6,Generic SPEC Aom_6,Generic SPEC Moa_6,NormalizedCut Average_6,NormalizedCut Maximization_6,NormalizedCut Aom_6,NormalizedCut Moa_6,Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6,WKMeans Average_6,WKMeans Maximization_6,WKMeans Aom_6,WKMeans Moa_6
-0.3793,-0.4483,-0.4483,-0.5172,-0.4828,-0.4483,-0.4828,-0.3103,-0.4828,-0.4483,-0.4828,-0.4828,-0.4483,-0.4483,-0.4483,-0.3793,-0.4483,-0.4483,-0.4483,-0.3793,-0.4483,-0.4483,-0.4483,-0.3793,-0.4483,-0.4483,-0.4483,-0.4828,-0.4483,-0.4483,-0.4828,-0.4828,-0.4828,-0.4483
-0.1429,-0.5179,-0.0536,-0.4464,-0.5357,-0.3393,-0.0893,-0.5536,-0.4821,-0.5893,-0.375,-0.4464,-0.4286,-0.4286,-0.3036,-0.4643,-0.4643,-0.375,-0.2857,-0.4643,-0.4643,-0.3393,-0.4821,-0.4821,-0.4643,-0.5,-0.4643,-0.4821,-0.4286,-0.4821,-0.3214,-0.4464,-0.3393,-0.3929
-0.0,-0.0,-0.2,-0.0,-0.0,-0.0,-0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.8431,-0.7647,-0.7255,-0.3137,-0.6471,-0.8627,-0.7255,-0.8824,-0.6863,-0.5882,-0.7451,-0.5882,-0.7059,-0.6667,-0.7647,-0.7255,-0.7255,-0.7255,-0.7647,-0.7255,-0.7451,-0.7451,-0.7451,-0.5882,-0.7647,-0.7255,-0.6667,-0.6078,-0.6667,-0.6078,-0.6667,-0.6078,-0.6275,-0.6471
-0.3478,-0.1957,-0.3913,-0.087,-0.1304,-0.3043,-0.3913,-0.1522,-0.1304,-0.087,-0.1957,-0.2391,-0.2391,-0.2391,-0.2174,-0.2609,-0.2174,-0.2391,-0.3478,-0.3261,-0.3913,-0.3043,-0.1304,-0.1087,-0.087,-0.087,-0.1522,-0.1522,-0.1522,-0.1739,-0.1522,-0.1522,-0.1304,-0.1522
-0.0,-0.5,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-1.0
-0.3051,-0.3676,-0.3419,-0.1176,-0.2831,-0.3971,-0.3235,-0.2757,-0.3382,-0.3346,-0.3456,-0.3015,-0.3309,-0.2941,-0.3162,-0.2941,-0.3088,-0.3088,-0.3272,-0.2463,-0.3015,-0.2868,-0.3272,-0.2941,-0.3235,-0.2831,-0.3566,-0.3419,-0.364,-0.3493,-0.3346,-0.2941,-0.3088,-0.2831
-0.1,-1.0,-0.225,-1.0,-0.875,-0.2,-0.2,-0.875,-1.0,-0.95,-0.925,-0.975,-1.0,-1.0,-0.975,-1.0,-1.0,-1.0,-0.925,-0.975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.925,-0.975,-1.0,-0.95,-0.625,-0.775,-0.7,-0.625
-0.0364,-0.0,-0.0182,-0.1636,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0545,-0.0,-0.0909,-0.0182,-0.0545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0182,-0.0,-0.0,-0.0,-0.0182,-0.0,-0.0
-0.0862,-0.3448,-0.0517,-0.3448,-0.3966,-0.069,-0.0345,-0.1034,-0.3276,-0.3448,-0.2586,-0.1034,-0.2586,-0.2586,-0.2586,-0.1207,-0.2414,-0.2931,-0.069,-0.0862,-0.069,-0.1207,-0.3621,-0.2931,-0.2931,-0.3448,-0.2931,-0.2586,-0.2759,-0.2759,-0.3103,-0.2759,-0.3448,-0.2931
-0.4316,-0.4105,-0.3474,-0.4316,-0.4421,-0.4105,-0.3368,-0.4211,-0.4105,-0.4316,-0.4211,-0.4316,-0.4211,-0.4421,-0.4632,-0.4316,-0.4632,-0.4421,-0.4105,-0.4105,-0.4316,-0.4211,-0.4211,-0.4211,-0.4421,-0.4211,-0.4105,-0.4211,-0.4105,-0.4211,-0.4737,-0.4316,-0.4632,-0.4421
-0.3739,-0.538,-0.3739,-0.5826,-0.579,-0.4849,-0.3752,-0.6912,-0.5392,-0.4958,-0.614,-0.6104,-0.6152,-0.6285,-0.6092,-0.5911,-0.62,-0.6031,-0.5911,-0.6007,-0.608,-0.608,-0.6092,-0.6104,-0.6019,-0.6068,-0.6007,-0.5983,-0.6092,-0.5959,-0.5971,-0.6007,-0.5899,-0.5899
-0.3333,-0.9,-0.0333,-0.7667,-0.8667,-0.3667,-0.1,-0.7,-0.9,-0.8667,-0.7333,-0.7,-0.8333,-0.8333,-0.3333,-0.5333,-0.5333,-0.5333,-0.9,-0.7667,-0.9333,-0.7333,-0.4,-0.5667,-0.5667,-0.4,-0.4667,-0.7667,-0.7333,-0.8333,-0.8667,-0.9,-0.9,-0.9
-0.2039,-0.245,-0.0626,-0.9352,-0.9582,-0.2283,-0.1698,-0.7488,-0.9527,-0.9492,-0.9088,-0.7268,-0.8914,-0.7523,-0.8935,-0.7268,-0.8559,-0.8991,-0.9297,-0.9576,-0.9471,-0.9527,-0.92,-0.7386,-0.9221,-0.8587,-0.9325,-0.9673,-0.9562,-0.945,-0.8977,-0.7386,-0.8636,-0.8754
