,Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6,Generic SPEC Average_6,Generic SPEC Maximization_6,Generic SPEC Aom_6,Generic SPEC Moa_6,NormalizedCut Average_6,NormalizedCut Maximization_6,NormalizedCut Aom_6,NormalizedCut Moa_6,Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6,WKMeans Average_6,WKMeans Maximization_6,WKMeans Aom_6,WKMeans Moa_6
0,-0.7687,-0.7684,-0.7799,-0.8511,-0.8527,-0.782,-0.7787,-0.8228,-0.7986,-0.8,-0.8294,-0.8245,-0.8315,-0.8296,-0.788,-0.774,-0.8004,-0.7967,-0.8294,-0.8245,-0.8235,-0.8231,-0.8333,-0.8249,-0.8315,-0.835,-0.8294,-0.8245,-0.8322,-0.8249
1,-0.5763,-0.8221,-0.4879,-0.8453,-0.9414,-0.6959,-0.4715,-0.8778,-0.9507,-0.9638,-0.7397,-0.7955,-0.7867,-0.7863,-0.9276,-0.945,-0.9524,-0.9506,-0.8423,-0.9051,-0.9022,-0.9207,-0.921,-0.931,-0.9332,-0.9194,-0.8168,-0.9086,-0.8446,-0.8532
2,-0.7104,-0.8506,-0.7043,-0.6524,-0.7195,-0.7805,-0.7774,-0.7165,-0.6189,-0.622,-0.686,-0.6646,-0.7012,-0.6921,-0.7073,-0.689,-0.7439,-0.7256,-0.6921,-0.686,-0.7043,-0.6799,-0.7134,-0.7165,-0.7012,-0.7195,-0.7348,-0.7012,-0.7348,-0.7348
3,-0.9004,-0.8952,-0.8933,-0.5195,-0.8309,-0.9134,-0.8989,-0.9399,-0.8372,-0.7971,-0.8744,-0.7685,-0.8176,-0.767,-0.8824,-0.83,-0.8561,-0.8557,-0.8616,-0.7878,-0.8305,-0.7935,-0.8475,-0.7718,-0.8256,-0.8153,-0.8475,-0.7718,-0.8244,-0.8202
4,-0.8465,-0.7423,-0.866,-0.5728,-0.5778,-0.845,-0.8409,-0.7499,-0.5744,-0.48,-0.7652,-0.776,-0.7755,-0.8021,-0.7652,-0.776,-0.7745,-0.7678,-0.7392,-0.7835,-0.7729,-0.763,-0.7609,-0.8229,-0.7945,-0.778,-0.6942,-0.7004,-0.7016,-0.6899
5,-0.9382,-0.9709,-0.9673,-0.9964,-0.9855,-0.9636,-0.9636,-0.9127,-0.9636,-0.9818,-0.9818,-0.9709,-0.9745,-0.9818,-0.9673,-0.9745,-0.9636,-0.9673,-0.9818,-0.9709,-0.9818,-0.9745,-0.9818,-0.9818,-0.9818,-0.9818,-0.9818,-0.9745,-0.9855,-0.9855
6,-0.7813,-0.8447,-0.7259,-0.5675,-0.7801,-0.8409,-0.7085,-0.863,-0.8417,-0.8396,-0.8154,-0.8091,-0.8103,-0.8196,-0.7622,-0.7514,-0.7559,-0.764,-0.8176,-0.8085,-0.8233,-0.8194,-0.8064,-0.779,-0.8019,-0.7866,-0.8176,-0.8085,-0.8092,-0.7923
7,-0.0809,-1.0,-0.5228,-0.9999,-0.9996,-0.7348,-0.5323,-1.0,-1.0,-1.0,-0.9774,-0.9975,-0.9921,-0.9994,-0.9344,-1.0,-1.0,-1.0,-0.9992,-0.9979,-0.9999,-0.996,-0.9996,-0.9981,-1.0,-1.0,-0.9773,-0.9914,-0.987,-0.9874
8,-0.4428,-0.7852,-0.4641,-0.8822,-0.5764,-0.3824,-0.4584,-0.3486,-0.4972,-0.504,-0.5661,-0.6207,-0.5873,-0.6436,-0.7107,-0.8379,-0.7978,-0.844,-0.6422,-0.7716,-0.6823,-0.6937,-0.6823,-0.7859,-0.7162,-0.7303,-0.6641,-0.7781,-0.7236,-0.7144
9,-0.7008,-0.9609,-0.4687,-0.9294,-0.9422,-0.7602,-0.481,-0.8271,-0.93,-0.9332,-0.9306,-0.918,-0.9276,-0.9275,-0.8618,-0.8771,-0.8762,-0.8594,-0.9449,-0.9281,-0.9353,-0.9455,-0.9449,-0.9281,-0.9385,-0.94,-0.8922,-0.9109,-0.9212,-0.9265
