Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),Lasso Moa_6,Moa
-0.3571,-0.4643,-0.5,-0.5714,-0.5714,-0.5,-0.4643,-0.4286,-0.5,-0.5,-0.5357,-0.39285
-0.1875,-0.4844,-0.1406,-0.4688,-0.5,-0.2812,-0.125,-0.3906,-0.5938,-0.6875,-0.4688,-0.28905000000000003
-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.25,-0.125
-0.8214,-0.8036,-0.75,-0.3393,-0.6607,-0.8393,-0.75,-0.8571,-0.7143,-0.5893,-0.5893,-0.5893
-0.275,-0.175,-0.4,-0.125,-0.05,-0.3,-0.325,-0.075,-0.1,-0.05,-0.225,-0.07500000000000001
-0.4,-0.6,-0.6,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.8,-0.5
-0.3562,-0.4007,-0.3664,-0.1199,-0.2979,-0.4144,-0.33899999999999997,-0.3973,-0.3801,-0.3767,-0.3185,-0.26715
-0.0333,-1.0,-0.1667,-0.9667,-0.9333,-0.2333,-0.1333,-0.9667,-1.0,-1.0,-1.0,-0.5
-0.0161,-0.0,-0.0484,-0.2581,-0.0161,-0.0,-0.0484,-0.0,-0.0,-0.0,-0.0161,-0.00805
-0.0308,-0.3077,-0.0462,-0.2615,-0.2769,-0.0462,-0.0462,-0.0615,-0.2923,-0.3385,-0.2923,-0.04615
-0.5106,-0.4681,-0.4468,-0.5213,-0.4787,-0.5106,-0.4787,-0.4787,-0.4574,-0.5,-0.4681,-0.46804999999999997
-0.3918,-0.5574,-0.4051,-0.5466,-0.5719,-0.4994,-0.4051,-0.6747,-0.5224,-0.4559,-0.5877,-0.4305
-0.2593,-0.8889,-0.0741,-0.5926,-0.8889,-0.3704,-0.0741,-0.5185,-0.9259,-0.8519,-0.8889,-0.38889999999999997
-0.1918,-0.2336,-0.111,-0.9857,-0.9308,-0.2199,-0.1406,-0.7534,-0.9553,-0.9503,-0.9632,-0.1871
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.4706,-0.4118,-0.3529,-0.1765,-0.1765,-0.5294,-0.4118,-0.0,-0.2941,-0.1176,-0.4118,-0.23525
-0.3,-0.6,-0.5,-0.7,-0.5,-0.5,-0.4,-0.4,-0.5,-0.6,-0.5,-0.35
