Fixed SPEC Moa_6,Generic SPEC Moa_6,NormalizedCut Moa_6,Lasso Moa_6,WKMeans Moa_6
-0.5714,-0.5,-0.5714,-0.5357,-0.5357
-0.2969,-0.5781,-0.4062,-0.4688,-0.3125
-0.25,-0.25,-0.25,-0.25,-0.25
-0.6071,-0.75,-0.625,-0.5893,-0.5893
-0.3,-0.225,-0.175,-0.225,-0.1
-0.8,-0.6,-0.6,-0.8,-0.8
-0.4144,-0.2637,-0.3699,-0.3185,-0.4041
-0.9333,-1.0,-0.7667,-1.0,-0.5667
-0.0,-0.0968,-0.0,-0.0161,-0.0
-0.2154,-0.1077,-0.2615,-0.2923,-0.2
-0.4894,-0.4894,-0.5106,-0.4681,-0.5106
-0.578,-0.5756,-0.5538,-0.5877,-0.5937
-0.2963,-0.8889,-0.2222,-0.8889,-0.6667
-0.9553,-0.9539,-0.889,-0.9632,-0.7455
-0.0,-0.0,-0.0,-0.0,-0.0
-0.2941,-0.3529,-0.2941,-0.4118,-0.2941
-0.6,-0.5,-0.6,-0.5,-0.6
