Fixed SPEC Moa_6,Generic SPEC Moa_6,NormalizedCut Moa_6,Lasso Moa_6,WKMeans Moa_6
-0.8296,-0.7967,-0.8231,-0.835,-0.8249
-0.7863,-0.9506,-0.9207,-0.9194,-0.8532
-0.6921,-0.7256,-0.6799,-0.7195,-0.7348
-0.767,-0.8557,-0.7935,-0.8153,-0.8202
-0.8021,-0.7678,-0.763,-0.778,-0.6899
-0.9818,-0.9673,-0.9745,-0.9818,-0.9855
-0.8196,-0.764,-0.8194,-0.7866,-0.7923
-0.9994,-1.0,-0.996,-1.0,-0.9874
-0.6436,-0.8440000000000001,-0.6937,-0.7303,-0.7144
-0.9275,-0.8594,-0.9455,-0.94,-0.9265
-0.6885,-0.6909,-0.7003,-0.6845,-0.6888
-0.7172,-0.7109,-0.7032,-0.7345,-0.7194
-0.9809,-0.9984,-0.9792,-0.9961,-0.9932
-0.9947,-0.9966,-0.993,-0.996,-0.9817
-0.3321,-0.281,-0.3295,-0.341,-0.3269
-0.8478,-0.917,-0.8658,-0.9014,-0.8333
-0.95,-0.9437,-0.9549,-0.9514,-0.9556
