Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6
-0.8333,-0.8249,-0.8315,-0.835
-0.9209999999999999,-0.9309999999999999,-0.9332,-0.9194
-0.7134,-0.7165,-0.7012,-0.7195
-0.8475,-0.7718,-0.8256,-0.8153
-0.7609,-0.8229,-0.7945,-0.778
-0.9818,-0.9818,-0.9818,-0.9818
-0.8064,-0.779,-0.8019,-0.7866
-0.9996,-0.9981,-1.0,-1.0
-0.6823,-0.7859,-0.7162,-0.7303
-0.9449,-0.9281,-0.9385,-0.94
-0.6815,-0.6890000000000001,-0.6890000000000001,-0.6845
-0.7169,-0.7442,-0.7317,-0.7345
-0.9908,-0.9939,-0.991,-0.9961
-0.9938,-0.9956,-0.9955,-0.996
-0.3206,-0.258,-0.3142,-0.341
-0.8369,-0.8958,-0.8693,-0.9014
-0.9493,-0.9592,-0.9486,-0.9514
